timestamp;host;porta;unit_id;funcao;endereco;quantidade;status;codigo_excecao;registros;int16;requisicao_hex;resposta_hex;erro
2026-08-08T02:07:22.437-03:00;192.168.0.250;502;1;3;4101;1;OK;;[0];[0];00 73 00 00 00 06 01 03 10 05 00 01;00 73 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.440-03:00;192.168.0.250;502;1;3;4102;1;OK;;[1];[1];00 74 00 00 00 06 01 03 10 06 00 01;00 74 00 00 00 05 01 03 02 00 01;
2026-08-08T02:07:22.443-03:00;192.168.0.250;502;1;3;4103;1;EXCECAO;2;[];;00 75 00 00 00 06 01 03 10 07 00 01;00 75 00 00 00 03 01 83 02;
2026-08-08T02:07:22.448-03:00;192.168.0.250;502;1;3;4104;1;OK;;[1];[1];00 76 00 00 00 06 01 03 10 08 00 01;00 76 00 00 00 05 01 03 02 00 01;
2026-08-08T02:07:22.452-03:00;192.168.0.250;502;1;3;4105;1;OK;;[1];[1];00 77 00 00 00 06 01 03 10 09 00 01;00 77 00 00 00 05 01 03 02 00 01;
2026-08-08T02:07:22.454-03:00;192.168.0.250;502;1;3;4106;1;OK;;[0];[0];00 78 00 00 00 06 01 03 10 0A 00 01;00 78 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.458-03:00;192.168.0.250;502;1;3;4107;1;EXCECAO;2;[];;00 79 00 00 00 06 01 03 10 0B 00 01;00 79 00 00 00 03 01 83 02;
2026-08-08T02:07:22.461-03:00;192.168.0.250;502;1;3;4108;1;EXCECAO;2;[];;00 7A 00 00 00 06 01 03 10 0C 00 01;00 7A 00 00 00 03 01 83 02;
2026-08-08T02:07:22.463-03:00;192.168.0.250;502;1;3;4109;1;EXCECAO;2;[];;00 7B 00 00 00 06 01 03 10 0D 00 01;00 7B 00 00 00 03 01 83 02;
2026-08-08T02:07:22.466-03:00;192.168.0.250;502;1;3;4110;1;EXCECAO;2;[];;00 7C 00 00 00 06 01 03 10 0E 00 01;00 7C 00 00 00 03 01 83 02;
2026-08-08T02:07:22.469-03:00;192.168.0.250;502;1;3;4850;1;EXCECAO;2;[];;00 7D 00 00 00 06 01 03 12 F2 00 01;00 7D 00 00 00 03 01 83 02;
2026-08-08T02:07:22.472-03:00;192.168.0.250;502;1;3;4851;1;EXCECAO;2;[];;00 7E 00 00 00 06 01 03 12 F3 00 01;00 7E 00 00 00 03 01 83 02;
2026-08-08T02:07:22.475-03:00;192.168.0.250;502;1;3;4852;1;EXCECAO;2;[];;00 7F 00 00 00 06 01 03 12 F4 00 01;00 7F 00 00 00 03 01 83 02;
2026-08-08T02:07:22.483-03:00;192.168.0.250;502;1;3;4853;1;EXCECAO;2;[];;00 80 00 00 00 06 01 03 12 F5 00 01;00 80 00 00 00 03 01 83 02;
2026-08-08T02:07:22.486-03:00;192.168.0.250;502;1;3;4854;1;EXCECAO;2;[];;00 81 00 00 00 06 01 03 12 F6 00 01;00 81 00 00 00 03 01 83 02;
2026-08-08T02:07:22.490-03:00;192.168.0.250;502;1;3;4855;1;EXCECAO;2;[];;00 82 00 00 00 06 01 03 12 F7 00 01;00 82 00 00 00 03 01 83 02;
2026-08-08T02:07:22.495-03:00;192.168.0.250;502;1;3;4856;1;EXCECAO;2;[];;00 83 00 00 00 06 01 03 12 F8 00 01;00 83 00 00 00 03 01 83 02;
2026-08-08T02:07:22.500-03:00;192.168.0.250;502;1;3;4857;1;EXCECAO;2;[];;00 84 00 00 00 06 01 03 12 F9 00 01;00 84 00 00 00 03 01 83 02;
2026-08-08T02:07:22.502-03:00;192.168.0.250;502;1;3;4858;1;EXCECAO;2;[];;00 85 00 00 00 06 01 03 12 FA 00 01;00 85 00 00 00 03 01 83 02;
2026-08-08T02:07:22.505-03:00;192.168.0.250;502;1;3;4859;1;EXCECAO;2;[];;00 86 00 00 00 06 01 03 12 FB 00 01;00 86 00 00 00 03 01 83 02;
2026-08-08T02:07:22.510-03:00;192.168.0.250;502;1;3;4860;1;EXCECAO;2;[];;00 87 00 00 00 06 01 03 12 FC 00 01;00 87 00 00 00 03 01 83 02;
2026-08-08T02:07:22.515-03:00;192.168.0.250;502;1;3;4861;1;EXCECAO;2;[];;00 88 00 00 00 06 01 03 12 FD 00 01;00 88 00 00 00 03 01 83 02;
2026-08-08T02:07:22.517-03:00;192.168.0.250;502;1;3;4862;1;EXCECAO;2;[];;00 89 00 00 00 06 01 03 12 FE 00 01;00 89 00 00 00 03 01 83 02;
2026-08-08T02:07:22.520-03:00;192.168.0.250;502;1;3;4863;1;EXCECAO;2;[];;00 8A 00 00 00 06 01 03 12 FF 00 01;00 8A 00 00 00 03 01 83 02;
2026-08-08T02:07:22.523-03:00;192.168.0.250;502;1;3;4864;1;OK;;[65535];[-1];00 8B 00 00 00 06 01 03 13 00 00 01;00 8B 00 00 00 05 01 03 02 FF FF;
2026-08-08T02:07:22.526-03:00;192.168.0.250;502;1;3;4865;1;OK;;[0];[0];00 8C 00 00 00 06 01 03 13 01 00 01;00 8C 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.529-03:00;192.168.0.250;502;1;3;4866;1;OK;;[19];[19];00 8D 00 00 00 06 01 03 13 02 00 01;00 8D 00 00 00 05 01 03 02 00 13;
2026-08-08T02:07:22.532-03:00;192.168.0.250;502;1;3;4867;1;OK;;[40];[40];00 8E 00 00 00 06 01 03 13 03 00 01;00 8E 00 00 00 05 01 03 02 00 28;
2026-08-08T02:07:22.540-03:00;192.168.0.250;502;1;3;4868;1;OK;;[0];[0];00 8F 00 00 00 06 01 03 13 04 00 01;00 8F 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.545-03:00;192.168.0.250;502;1;3;4869;1;OK;;[0];[0];00 90 00 00 00 06 01 03 13 05 00 01;00 90 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.549-03:00;192.168.0.250;502;1;3;4870;1;OK;;[30];[30];00 91 00 00 00 06 01 03 13 06 00 01;00 91 00 00 00 05 01 03 02 00 1E;
2026-08-08T02:07:22.553-03:00;192.168.0.250;502;1;3;4871;1;OK;;[10];[10];00 92 00 00 00 06 01 03 13 07 00 01;00 92 00 00 00 05 01 03 02 00 0A;
2026-08-08T02:07:22.556-03:00;192.168.0.250;502;1;3;4872;1;EXCECAO;2;[];;00 93 00 00 00 06 01 03 13 08 00 01;00 93 00 00 00 03 01 83 02;
2026-08-08T02:07:22.564-03:00;192.168.0.250;502;1;3;4873;1;EXCECAO;2;[];;00 94 00 00 00 06 01 03 13 09 00 01;00 94 00 00 00 03 01 83 02;
2026-08-08T02:07:22.572-03:00;192.168.0.250;502;1;3;4874;1;EXCECAO;2;[];;00 95 00 00 00 06 01 03 13 0A 00 01;00 95 00 00 00 03 01 83 02;
2026-08-08T02:07:22.577-03:00;192.168.0.250;502;1;3;4875;1;EXCECAO;2;[];;00 96 00 00 00 06 01 03 13 0B 00 01;00 96 00 00 00 03 01 83 02;
2026-08-08T02:07:22.582-03:00;192.168.0.250;502;1;3;4876;1;EXCECAO;2;[];;00 97 00 00 00 06 01 03 13 0C 00 01;00 97 00 00 00 03 01 83 02;
2026-08-08T02:07:22.586-03:00;192.168.0.250;502;1;3;4877;1;EXCECAO;2;[];;00 98 00 00 00 06 01 03 13 0D 00 01;00 98 00 00 00 03 01 83 02;
2026-08-08T02:07:22.588-03:00;192.168.0.250;502;1;3;4878;1;EXCECAO;2;[];;00 99 00 00 00 06 01 03 13 0E 00 01;00 99 00 00 00 03 01 83 02;
2026-08-08T02:07:22.591-03:00;192.168.0.250;502;1;3;4879;1;EXCECAO;2;[];;00 9A 00 00 00 06 01 03 13 0F 00 01;00 9A 00 00 00 03 01 83 02;
2026-08-08T02:07:22.594-03:00;192.168.0.250;502;1;3;4880;1;OK;;[65286];[-250];00 9B 00 00 00 06 01 03 13 10 00 01;00 9B 00 00 00 05 01 03 02 FF 06;
2026-08-08T02:07:22.598-03:00;192.168.0.250;502;1;3;5110;1;EXCECAO;2;[];;00 9C 00 00 00 06 01 03 13 F6 00 01;00 9C 00 00 00 03 01 83 02;
2026-08-08T02:07:22.602-03:00;192.168.0.250;502;1;3;5111;1;EXCECAO;2;[];;00 9D 00 00 00 06 01 03 13 F7 00 01;00 9D 00 00 00 03 01 83 02;
2026-08-08T02:07:22.605-03:00;192.168.0.250;502;1;3;5112;1;EXCECAO;2;[];;00 9E 00 00 00 06 01 03 13 F8 00 01;00 9E 00 00 00 03 01 83 02;
